Raging Bull;8.2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Stalker;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Höstsonaten;8.2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
The Message;8.2;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sholay;8.2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monty Python and the Holy Grail;8.2;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
The Great Escape;8.2;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
To Kill a Mockingbird;8.2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yôjinbô;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Judgment at Nuremberg;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Some Like It Hot;8.2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Smultronstället;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Det sjunde inseglet;8.2;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0
Du rififi chez les hommes;8.2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Dial M for Murder;8.2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Tôkyô monogatari;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rashômon;8.2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
All About Eve;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Treasure of the Sierra Madre;8.2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
To Be or Not to Be;8.2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
The Gold Rush;8.2;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sherlock Jr.;8.2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Portrait de la jeune fille en feu;8.1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Pink;8.1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Koe no katachi;8.1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
